DATE_TIME,current_contract,next_contract,carry_contract
2025-03-11 23:00:00,20250500,20250600,20250400
2025-04-11 23:00:00,20250600,20250700,20250500
2025-05-12 23:00:00,20250700,20250800,20250600
2025-06-11 23:00:00,20250800,20250900,20250700
2025-07-11 23:00:00,20250900,20251000,20250800
2025-08-11 23:00:00,20251000,20251100,20250900
2025-09-11 23:00:00,20251100,20251200,20251000
2025-10-10 23:00:00,20251200,20260100,20251100
2025-11-11 23:00:00,20260100,20260200,20251200
2025-12-12 23:00:00,20260200,20260300,20260100
2026-01-09 23:00:00,20260300,20260400,20260200
2026-02-09 15:30:00,20260400,20260500,20260300
2026-02-20 15:30:00,20260500,20260600,20260400
